Vs,VR1,VRL,I,R
"0,00 V","0,00 V","0,000 V","0,00 mA",-
"0,50 V","0,46 V","0,036 V","0,89 mA","0,040 kΩ"
"1,00 V","0,93 V","0,073 V","1,78 mA","0,041 kΩ"
"1,50 V","1,39 V","0,110 V","2,67 mA","0,041 kΩ"
"2,00 V","1,85 V","0,150 V","3,56 mA","0,042 kΩ"
"2,50 V","2,30 V","0,200 V","4,42 mA","0,045 kΩ"
"3,00 V","2,75 V","0,250 V","5,29 mA","0,047 kΩ"
"3,50 V","3,20 V","0,300 V","6,15 mA","0,049 kΩ"
"4,00 V","3,65 V","0,800 V","7,02 mA","0,114 kΩ"
"4,50 V","4,08 V","0,850 V","7,85 mA","0,108 kΩ"
"5,00 V","4,51 V","0,920 V","8,67 mA","0,106 kΩ"
"5,50 V","4,92 V","0,990 V","9,46 mA","0,105 kΩ"
"6,00 V","5,31 V","1,080 V","10,21 mA","0,106 kΩ"
"6,50 V","5,68 V","1,190 V","10,92 mA","0,109 kΩ"
"7,00 V","6,03 V","1,320 V","11,60 mA","0,114 kΩ"